province,districts
อำนาจเจริญ,"ชานุมาน,หัวตะพาน,ลืออำนาจ,เมืองอำนาจเจริญ,ปทุมราชวงศา,พนา,เสนางคนิคม"
อ่างทอง,"ไชโย,เมืองอ่างทอง,ป่าโมก,โพธิ์ทอง,สามโก้,แสวงหา,วิเศษชัยชาญ"
พระนครศรีอยุธยา,"บ้านแพรก,บางบาล,บางปะอิน,บางปะหัน,บางไทร,บางซ้าย,ลาดบัวหลวง,มหาราช,นครหลวง,ภาชี,ผักไห่,พระนครศรีอยุธยา,เสนา,ท่าเรือ,อุทัย,วังน้อย"
บึงกาฬ,"บึงโขงหลง,บุ่งคล้า,เมืองบึงกาฬ,ปากคาด,พรเจริญ,เซกา,ศรีวิไล,โซ่พิสัย"
บุรีรัมย์,"บ้านด่าน,บ้านกรวด,บ้านใหม่ไชยพจน์,เฉลิมพระเกียรติ,ชำนิ,ห้วยราช,แคนดง,คูเมือง,กระสัง,ละหานทราย,ลำปลายมาศ,เมืองบุรีรัมย์,นาโพธิ์,นางรอง,โนนดินแดง,โนนสุวรรณ,หนองหงส์,หนองกี่,ปะคำ,พลับพลาชัย,พุทไธสง,ประโคนชัย,สตึก"
ฉะเชิงเทรา,"บ้านโพธิ์,บางคล้า,บางน้ำเปรี้ยว,บางปะกง,คลองเขื่อน,เมืองฉะเชิงเทรา,พนมสารคาม,แปลงยาว,ราชสาส์น,สนามชัยเขต,ท่าตะเกียบ"
ชัยนาท,"หันคา,มโนรมย์,เมืองชัยนาท,เนินขาม,หนองมะโมง,สรรคบุรี,สรรพยา,วัดสิงห์"
ชัยภูมิ,"บำเหน็จณรงค์,บ้านเขว้า,บ้านแท่น,จัตุรัส,แก้งคร้อ,เกษตรสมบูรณ์,คอนสาร,คอนสวรรค์,เมืองชัยภูมิ,เนินสง่า,หนองบัวแดง,หนองบัวระเหว,ภักดีชุมพล,ภูเขียว,ซับใหญ่,เทพสถิต"
จันทบุรี,"แก่งหางแมว,เขาคิชฌกูฏ,ขลุง,แหลมสิงห์,มะขาม,เมืองจันทบุรี,นายายอาม,โป่งน้ำร้อน,สอยดาว,ท่าใหม่"
เชียงใหม่,"ไชยปราการ,เชียงดาว,จอมทอง,ดอยหล่อ,ดอยสะเก็ด,ดอยเต่า,ฝาง,กัลยาณิวัฒนา,หางดง,ฮอด,แม่อาย,แม่แจ่ม,แม่ออน,แม่ริม,แม่แตง,แม่วาง,เมืองเชียงใหม่,อมก๋อย,พร้าว,สะเมิง,สันกำแพง,สันป่าตอง,สันทราย,สารภี,เวียงแหง"
เชียงราย,"เชียงของ,เชียงแสน,ดอยหลวง,ขุนตาล,แม่จัน,แม่ฟ้าหลวง,แม่ลาว,แม่สาย,แม่สรวย,เมืองเชียงราย,ป่าแดด,พาน,พญาเม็งราย,เทิง,เวียงชัย,เวียงเชียงรุ้ง,เวียงแก่น,เวียงป่าเป้า"
ชลบุรี,"บ้านบึง,บางละมุง,บ่อทอง,เกาะจันทร์,เกาะสีชัง,เมืองชลบุรี,หนองใหญ่,พานทอง,พนัสนิคม,สัตหีบ,ศรีราชา"
ชุมพร,"ละแม,หลังสวน,เมืองชุมพร,ปะทิว,พะโต๊ะ,สวี,ท่าแซะ,ทุ่งตะโก"
กาฬสินธุ์,"ดอนจาน,ห้วยเม็ก,ห้วยผึ้ง,กมลาไสย,คำม่วง,เขาวง,ฆ้องชัย,กุฉินารายณ์,เมืองกาฬสินธุ์,นาคู,นามน,หนองกุงศรี,ร่องคำ,สหัสขันธ์,สามชัย,สมเด็จ,ท่าคันโท,ยางตลาด"
กำแพงเพชร,"บึงสามัคคี,ขาณุวรลักษบุรี,คลองขลุง,คลองลาน,โกสัมพีนคร,ลานกระบือ,เมืองกำแพงเพชร,ปางศิลาทอง,พรานกระต่าย,ไทรงาม,ทรายทองวัฒนา"
กาญจนบุรี,"บ่อพลอย,ด่านมะขามเตี้ย,ห้วยกระเจา,เลาขวัญ,เมืองกาญจนบุรี,หนองปรือ,พนมทวน,ไทรโยค,สังขละบุรี,ศรีสวัสดิ์,ท่ามะกา,ท่าม่วง,ทองผาภูมิ"
