amphoe,changwat
ชานุมาน,อำนาจเจริญ
หัวตะพาน,อำนาจเจริญ
ลืออำนาจ,อำนาจเจริญ
เมืองอำนาจเจริญ,อำนาจเจริญ
ปทุมราชวงศา,อำนาจเจริญ
พนา,อำนาจเจริญ
เสนางคนิคม,อำนาจเจริญ
ไชโย,อ่างทอง
เมืองอ่างทอง,อ่างทอง
ป่าโมก,อ่างทอง
โพธิ์ทอง,อ่างทอง
สามโก้,อ่างทอง
แสวงหา,อ่างทอง
วิเศษชัยชาญ,อ่างทอง
บ้านแพรก,พระนครศรีอยุธยา
บางบาล,พระนครศรีอยุธยา
บางปะอิน,พระนครศรีอยุธยา
บางปะหัน,พระนครศรีอยุธยา
บางไทร,พระนครศรีอยุธยา
บางซ้าย,พระนครศรีอยุธยา
ลาดบัวหลวง,พระนครศรีอยุธยา
มหาราช,พระนครศรีอยุธยา
นครหลวง,พระนครศรีอยุธยา
ภาชี,พระนครศรีอยุธยา
ผักไห่,พระนครศรีอยุธยา
พระนครศรีอยุธยา,พระนครศรีอยุธยา
เสนา,พระนครศรีอยุธยา
ท่าเรือ,พระนครศรีอยุธยา
อุทัย,พระนครศรีอยุธยา
วังน้อย,พระนครศรีอยุธยา
บึงโขงหลง,บึงกาฬ
บุ่งคล้า,บึงกาฬ
เมืองบึงกาฬ,บึงกาฬ
ปากคาด,บึงกาฬ
พรเจริญ,บึงกาฬ
เซกา,บึงกาฬ
ศรีวิไล,บึงกาฬ
โซ่พิสัย,บึงกาฬ
บ้านด่าน,บุรีรัมย์
บ้านกรวด,บุรีรัมย์
บ้านใหม่ไชยพจน์,บุรีรัมย์
เฉลิมพระเกียรติ,บุรีรัมย์
ชำนิ,บุรีรัมย์
ห้วยราช,บุรีรัมย์
แคนดง,บุรีรัมย์
คูเมือง,บุรีรัมย์
กระสัง,บุรีรัมย์
ละหานทราย,บุรีรัมย์
ลำปลายมาศ,บุรีรัมย์
เมืองบุรีรัมย์,บุรีรัมย์
นาโพธิ์,บุรีรัมย์
นางรอง,บุรีรัมย์
โนนดินแดง,บุรีรัมย์
โนนสุวรรณ,บุรีรัมย์
หนองหงส์,บุรีรัมย์
หนองกี่,บุรีรัมย์
ปะคำ,บุรีรัมย์
พลับพลาชัย,บุรีรัมย์
พุทไธสง,บุรีรัมย์
ประโคนชัย,บุรีรัมย์
สตึก,บุรีรัมย์
บ้านโพธิ์,ฉะเชิงเทรา
บางคล้า,ฉะเชิงเทรา
บางน้ำเปรี้ยว,ฉะเชิงเทรา
บางปะกง,ฉะเชิงเทรา
คลองเขื่อน,ฉะเชิงเทรา
เมืองฉะเชิงเทรา,ฉะเชิงเทรา
พนมสารคาม,ฉะเชิงเทรา
แปลงยาว,ฉะเชิงเทรา
ราชสาส์น,ฉะเชิงเทรา
สนามชัยเขต,ฉะเชิงเทรา
ท่าตะเกียบ,ฉะเชิงเทรา
หันคา,ชัยนาท
มโนรมย์,ชัยนาท
เมืองชัยนาท,ชัยนาท
เนินขาม,ชัยนาท
หนองมะโมง,ชัยนาท
สรรคบุรี,ชัยนาท
สรรพยา,ชัยนาท
วัดสิงห์,ชัยนาท
บำเหน็จณรงค์,ชัยภูมิ
บ้านเขว้า,ชัยภูมิ
บ้านแท่น,ชัยภูมิ
จัตุรัส,ชัยภูมิ
แก้งคร้อ,ชัยภูมิ
เกษตรสมบูรณ์,ชัยภูมิ
คอนสาร,ชัยภูมิ
คอนสวรรค์,ชัยภูมิ
เมืองชัยภูมิ,ชัยภูมิ
เนินสง่า,ชัยภูมิ
หนองบัวแดง,ชัยภูมิ
หนองบัวระเหว,ชัยภูมิ
ภักดีชุมพล,ชัยภูมิ
ภูเขียว,ชัยภูมิ
ซับใหญ่,ชัยภูมิ
เทพสถิต,ชัยภูมิ
แก่งหางแมว,จันทบุรี
เขาคิชฌกูฏ,จันทบุรี
ขลุง,จันทบุรี
แหลมสิงห์,จันทบุรี
มะขาม,จันทบุรี
เมืองจันทบุรี,จันทบุรี
นายายอาม,จันทบุรี
โป่งน้ำร้อน,จันทบุรี
สอยดาว,จันทบุรี
ท่าใหม่,จันทบุรี
ไชยปราการ,เชียงใหม่
เชียงดาว,เชียงใหม่
จอมทอง,เชียงใหม่
ดอยหล่อ,เชียงใหม่
ดอยสะเก็ด,เชียงใหม่
ดอยเต่า,เชียงใหม่
ฝาง,เชียงใหม่
กัลยาณิวัฒนา,เชียงใหม่
หางดง,เชียงใหม่
ฮอด,เชียงใหม่
แม่อาย,เชียงใหม่
แม่แจ่ม,เชียงใหม่
แม่ออน,เชียงใหม่
แม่ริม,เชียงใหม่
แม่แตง,เชียงใหม่
แม่วาง,เชียงใหม่
เมืองเชียงใหม่,เชียงใหม่
อมก๋อย,เชียงใหม่
พร้าว,เชียงใหม่
สะเมิง,เชียงใหม่
สันกำแพง,เชียงใหม่
สันป่าตอง,เชียงใหม่
สันทราย,เชียงใหม่
สารภี,เชียงใหม่
เวียงแหง,เชียงใหม่
เชียงของ,เชียงราย
เชียงแสน,เชียงราย
ดอยหลวง,เชียงราย
ขุนตาล,เชียงราย
แม่จัน,เชียงราย
แม่ฟ้าหลวง,เชียงราย
แม่ลาว,เชียงราย
แม่สาย,เชียงราย
แม่สรวย,เชียงราย
เมืองเชียงราย,เชียงราย
ป่าแดด,เชียงราย
พาน,เชียงราย
พญาเม็งราย,เชียงราย
เทิง,เชียงราย
เวียงชัย,เชียงราย
เวียงเชียงรุ้ง,เชียงราย
เวียงแก่น,เชียงราย
เวียงป่าเป้า,เชียงราย
บ้านบึง,ชลบุรี
บางละมุง,ชลบุรี
บ่อทอง,ชลบุรี
เกาะจันทร์,ชลบุรี
เกาะสีชัง,ชลบุรี
เมืองชลบุรี,ชลบุรี
หนองใหญ่,ชลบุรี
พานทอง,ชลบุรี
พนัสนิคม,ชลบุรี
สัตหีบ,ชลบุรี
ศรีราชา,ชลบุรี
ละแม,ชุมพร
หลังสวน,ชุมพร
เมืองชุมพร,ชุมพร
ปะทิว,ชุมพร
พะโต๊ะ,ชุมพร
สวี,ชุมพร
ท่าแซะ,ชุมพร
ทุ่งตะโก,ชุมพร
ดอนจาน,กาฬสินธุ์
ห้วยเม็ก,กาฬสินธุ์
ห้วยผึ้ง,กาฬสินธุ์
กมลาไสย,กาฬสินธุ์
คำม่วง,กาฬสินธุ์
เขาวง,กาฬสินธุ์
ฆ้องชัย,กาฬสินธุ์
กุฉินารายณ์,กาฬสินธุ์
เมืองกาฬสินธุ์,กาฬสินธุ์
นาคู,กาฬสินธุ์
นามน,กาฬสินธุ์
หนองกุงศรี,กาฬสินธุ์
ร่องคำ,กาฬสินธุ์
สหัสขันธ์,กาฬสินธุ์
สามชัย,กาฬสินธุ์
สมเด็จ,กาฬสินธุ์
ท่าคันโท,กาฬสินธุ์
ยางตลาด,กาฬสินธุ์
บึงสามัคคี,กำแพงเพชร
ขาณุวรลักษบุรี,กำแพงเพชร
คลองขลุง,กำแพงเพชร
คลองลาน,กำแพงเพชร
โกสัมพีนคร,กำแพงเพชร
ลานกระบือ,กำแพงเพชร
เมืองกำแพงเพชร,กำแพงเพชร
ปางศิลาทอง,กำแพงเพชร
พรานกระต่าย,กำแพงเพชร
ไทรงาม,กำแพงเพชร
ทรายทองวัฒนา,กำแพงเพชร
บ่อพลอย,กาญจนบุรี
ด่านมะขามเตี้ย,กาญจนบุรี
ห้วยกระเจา,กาญจนบุรี
เลาขวัญ,กาญจนบุรี
เมืองกาญจนบุรี,กาญจนบุรี
หนองปรือ,กาญจนบุรี
พนมทวน,กาญจนบุรี
ไทรโยค,กาญจนบุรี
สังขละบุรี,กาญจนบุรี
ศรีสวัสดิ์,กาญจนบุรี
ท่ามะกา,กาญจนบุรี
ท่าม่วง,กาญจนบุรี
ทองผาภูมิ,กาญจนบุรี
บ้านฝาง,ขอนแก่น
บ้านแฮด,ขอนแก่น
บ้านไผ่,ขอนแก่น
ชนบท,ขอนแก่น
ชุมแพ,ขอนแก่น
เขาสวนกวาง,ขอนแก่น
โคกโพธิ์ไชย,ขอนแก่น
กระนวน,ขอนแก่น
มัญจาคีรี,ขอนแก่น
เมืองขอนแก่น,ขอนแก่น
น้ำพอง,ขอนแก่น
โนนศิลา,ขอนแก่น
หนองนาคำ,ขอนแก่น
หนองเรือ,ขอนแก่น
หนองสองห้อง,ขอนแก่น
พล,ขอนแก่น
พระยืน,ขอนแก่น
ภูผาม่าน,ขอนแก่น
ภูเวียง,ขอนแก่น
เปือยน้อย,ขอนแก่น
ซำสูง,ขอนแก่น
สีชมพู,ขอนแก่น
อุบลรัตน์,ขอนแก่น
