,,,tha_title,tha_firstname,tha_lastname,eng_title,eng_firstname,eng_lastname
"(1, 2, 0.05)",3,100,1.0,0.2,0.5517241379310345,1.0,0.875,0.7
"(1, 2, 0.05)",3,101,0.14285714285714285,0.26666666666666666,0.16666666666666666,0.11764705882352941,0.3076923076923077,0.4444444444444444
"(1, 2, 0.05)",3,102,1.0,0.7272727272727273,0.7692307692307693,1.0,0.8333333333333334,0.8888888888888888
"(1, 2, 0.05)",3,103,1.0,0.7272727272727273,0.8,1.0,0.8,1.0
"(1, 2, 0.05)",3,104,0.0,0.0,0.5806451612903226,1.0,1.0,1.0
"(1, 2, 0.05)",3,105,1.0,0.0,0.35,1.0,0.6666666666666666,0.45454545454545453
"(1, 2, 0.05)",3,106,1.0,1.0,0.7272727272727273,1.0,1.0,1.0
"(1, 2, 0.05)",3,107,1.0,1.0,0.9090909090909091,1.0,1.0,0.8571428571428571
"(1, 2, 0.05)",3,108,0.6666666666666666,0.0,0.0,0.8571428571428571,0.0,0.0
"(1, 2, 0.05)",3,109,1.0,0.6666666666666666,0.9629629629629629,1.0,0.8333333333333334,1.0
"(1, 2, 0.05)",8,100,1.0,0.6666666666666666,0.7619047619047619,1.0,0.8,0.45454545454545453
"(1, 2, 0.05)",8,101,1.0,0.26666666666666666,0.0,1.0,0.0,0.36363636363636365
"(1, 2, 0.05)",8,102,1.0,0.7272727272727273,0.7692307692307693,1.0,0.8333333333333334,0.8888888888888888
"(1, 2, 0.05)",8,103,1.0,0.5,0.18181818181818182,1.0,0.8421052631578947,1.0
"(1, 2, 0.05)",8,104,1.0,1.0,0.9,1.0,0.8571428571428571,1.0
"(1, 2, 0.05)",8,105,1.0,0.8,0.7619047619047619,0.2857142857142857,0.5454545454545454,0.45454545454545453
"(1, 2, 0.05)",8,106,1.0,1.0,1.0,1.0,1.0,0.8333333333333334
"(1, 2, 0.05)",8,107,1.0,0.8571428571428571,0.7272727272727273,1.0,0.6666666666666666,0.42857142857142855
"(1, 2, 0.05)",8,108,0.6666666666666666,0.0,0.0,0.8571428571428571,0.18181818181818182,0.0
"(1, 2, 0.05)",8,109,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.8823529411764706
"(1, 2, 0.05)",12,100,1.0,0.8333333333333334,0.6956521739130435,1.0,0.875,0.6086956521739131
"(1, 2, 0.05)",12,101,1.0,0.0,0.3448275862068966,1.0,0.0,0.3076923076923077
"(1, 2, 0.05)",12,102,1.0,0.7272727272727273,0.7692307692307693,1.0,0.8333333333333334,0.8888888888888888
"(1, 2, 0.05)",12,103,1.0,0.25,0.36363636363636365,1.0,0.8,1.0
"(1, 2, 0.05)",12,104,1.0,1.0,0.9,1.0,1.0,1.0
"(1, 2, 0.05)",12,105,1.0,0.8,0.7272727272727273,1.0,0.3333333333333333,0.5
"(1, 2, 0.05)",12,106,1.0,1.0,1.0,1.0,1.0,1.0
"(1, 2, 0.05)",12,107,1.0,0.8571428571428571,0.7272727272727273,1.0,1.0,0.8571428571428571
"(1, 2, 0.05)",12,108,0.6666666666666666,0.0,0.0,0.8571428571428571,0.0,0.0
"(1, 2, 0.05)",12,109,1.0,0.6666666666666666,0.9629629629629629,1.0,0.8333333333333334,1.0
"(1, 2, 0.05)",13,100,1.0,0.6666666666666666,0.7619047619047619,1.0,0.8,0.45454545454545453
"(1, 2, 0.05)",13,101,1.0,0.26666666666666666,0.0,1.0,0.0,0.36363636363636365
"(1, 2, 0.05)",13,102,1.0,0.7272727272727273,0.7692307692307693,1.0,0.8333333333333334,0.8888888888888888
"(1, 2, 0.05)",13,103,1.0,0.5,0.18181818181818182,1.0,0.8421052631578947,1.0
"(1, 2, 0.05)",13,104,1.0,1.0,0.9,1.0,0.8571428571428571,1.0
"(1, 2, 0.05)",13,105,1.0,0.8,0.7619047619047619,0.2857142857142857,0.5454545454545454,0.45454545454545453
"(1, 2, 0.05)",13,106,1.0,1.0,1.0,1.0,1.0,0.8333333333333334
"(1, 2, 0.05)",13,107,1.0,0.8571428571428571,0.7272727272727273,1.0,0.6666666666666666,0.42857142857142855
"(1, 2, 0.05)",13,108,0.6666666666666666,0.0,0.0,0.8571428571428571,0.18181818181818182,0.0
"(1, 2, 0.05)",13,109,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.8823529411764706
