tha,eng
กระจ่างจิตต์,Krajangjit
กริชสั้น,Grichson
กรือมอ,Gruemor
กลมกล่อม,Klomklorm
กลาสี,Kalasee
กล้าหาญ,Klaharn
กองข้าวเรียก,Kongkaoriak
กองข้าวเรียบ,Kongkaoriab
กองเย็น,Kongyen
กองแก้ว,Kongkaew
กอเส้ง,Koseng
กอแก้ว,Kokaew
กะตันญตานุลักษณ์,Katanyatanulak
กังละ,Kangla
กัญตญานุรักษ์,Kantayanurak
กันภัย,Kanpai
กันสุยะ,Kansuya
กางตั้ง,Kangtang
กาดำดวน,Kadamduan
กาทอง,Kathong
กายเงิน,Kaingoen
การสอนนาน,Kansornnan
การะวัน,Karawan
การ์เร็ต,Karret
กาวี,Kawee
กาฬจนิลธุ,Kanjaniltu
กาฬเนตร,Kannate
กำลัง,Kamlang
กิจกำจรกุล,Kitkamjornkul
กิจคาม,Kitkam
กิจพิทักษ์,Kitpitak
กิตติทรัพย์เจริญ,Kittisabcharoen
กิตสุข,Kitsuk
กิ่งเมือง,Kingmuang
กุราตรี,Kuratri
กุลกิต,Kulkit
กุลวานิช,Kulwanich
กุลสิงห์,Kulsing
กูปโคกกรวด,Kupakokkruad
กูสลามัส,Kusalamas
ก่อรักเสวต,Koraksawate
ก้อนแก้ว,Konkaew
ก้ามสกุล,Kamsakul
ขนอม,Kanom
ขวัญยืน,Kwaunyuen
ขอเหนี่ยวกลาง,Korniaoklang
ขันทวงศ์,Kanthawong
ขันภักดี,Kanpakdee
ขาวเชื้อ,Kaochuea
ขุนทอง,Kunthong
ขุนอังศร,Kunangsorn
ขุนเครือ,Kunkruea
ขุนแก้ว,Kunkaew
คงดี,Kongdee
คงบุญ,Kongboon
คงราษฎร,Kongrasadorn
คงฤทธิ์,Kongrit
คงสิน,Kongsin
คงเดิม,Kongdoem
คงเมือง,Kongmuang
คงแป้น,Kongpan
คงแรง,Kongrang
คงโรจน์,Kongroj
คชนันท์,Kotchanan
คชินรัตน์,Kachinrat
คณะบันธ์,Kanaban
คนคง,Konkong
คมกล้า,Komkla
คมคาย,Komkai
ครอบดวง,Krobduang
ครุฑเห็น,Kruthen
คล้ายสุบรรณ์,Klaisuban
ควนใต้,Kuantai
คะตา,Kata
คะหาปะนะ,Kahapana
คันฑชัย,Kanthachai
คาสามผง,Kasampong
คำยวง,Kamyuang
คำหนอน,Kamnon
คำอ่อน,Kamorn
คุณมั่น,Khunman
คุมลักษณ์,Kumluk
ค่ำคง,Kamkong
งาทแฉล่ม,Ngamchalaem
งามขำ,Ngamkam
งามวงษ์วาน,Ngamwongwan
จงบุญเจือ,Jongboonjuea
จงรักษ์,Jongrak
จงไกรจักษ์,Jongkraijak
จริงจิตร,Jingjit
จริยาอุดม,Jariya udom
จอมมี,Jommee
จะโนภาส,Janopas
จัดงูเหลือม,Jadngulueam
จัตรวาน,Jattawan
จัทร์ทกร,Janthakorn
จันคำเข้ม,Jankamkem
จันด์,Jan
จันต่อ,Jantor
จันทนากร,Janthanakorn
จันทรประสาท,Janthraprasart
